cID,SMILES,1,3,4,5,7,8,9,10,13,14,16,38,39,40,41,42,43,44,46,47,49,50
16,[O-]S(=O)(=O)[O-].[Mg+2],,,,,1.0,,,,,,,,,,,,,,,,,
138,CCOC(=O)CC(CC(=O)OCC)(C(=O)OCC)O,,,,,,,,,,1.0,,,,,,,,,,,,
188,CS(=O)C,,,,,,,,,,,,1.0,,,,,,,,,,
282,CC(C)(C#N)OC1C(C(C(C(O1)CO)O)O)O,,,,,,,,,,,1.0,,,,,,,,,,,
444,C1=CC(=C(C=C1C2=C(C(=O)C3=C(C=C(C=C3O2)O)O)O)O)O,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0
467,CCCC(C)C1(C(=O)NC(=O)[N-]C1=O)CC=C.[Na+],,,,,,,,,,1.0,,,,,,,,,,,,
514,CN1C2=C(C(=O)N(C1=O)C)NC=N2,,,,,1.0,,,1.0,,1.0,,,,,,,1.0,,1.0,,,
520,CC1=C(SC=[N+]1CC2=CN=C(N=C2N)C)CCO.Cl.[Cl-],,,,,,,,,,,,,,,,,,,,,,
539,CCCC(=O)OCC(COC(=O)CCC)OC(=O)CCC,,,,,,,,,,1.0,,,,,,,,,,,,
545,CC(CCC(=O)O)C1CCC2C1(CCC3C2C(CC4C3(CCC(C4)O)C)O)C,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
567,CCC1CN2CCC1CC2C(C3=C4C=C(C=CC4=NC=C3)OCC)O,,,,,,,,,,1.0,,,,,,,,,,,,
634,CC(CCC(=O)O)C1CCC2C1(CCC3C2C(CC4C3(CCC(C4)O)C)O)C,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
641,CCN(CC)CCCC(C)NC1=C2C=CC(=CC2=NC=C1)Cl.OP(=O)(O)O.OP(=O)(O)O,,,,,,,,,,,,,,,,,,,,,,
683,C1=CC=C2C(=C1)C=CC=C2[N+](=O)[O-],,,,,,,,,,1.0,,,,,,,,,,,,
705,C1=C(NC=N1)CC(C(=O)O)N,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
722,CCC(=O)OCC(COC(=O)CC)OC(=O)CC,,,,,,,,,,1.0,,,,,,,,,,,,
732,CC1(C2CCC(C2)(C1=O)C)C,1.0,,,,,,,,,1.0,,,,,,,,,,,,
801,C1=CC(=CC=C1C2=COC3=C(C2=O)C=CC(=C3)O)O,,,,,,,,,,1.0,,,1.0,,,,,,,,,
803,COC1=CC(=C2C(=C1)OC=C(C2=O)C3=CC=C(C=C3)O)O,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
859,C1=CC(=CC=C1C2=CC(=O)C3=C(C=C(C=C3O2)O)O)O,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
882,C1=CC(=C(C=C1C2=C(C(=O)C3=C(O2)C=C(C=C3)O)O)O)O,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0
901,C1=CC(=C(C=C1C=CC(=O)C2=C(C=C(C=C2)O)O)O)O,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
903,C1=CC=C(C(=C1)C(=O)C=CC2=CC(=CC=C2)O)O,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
952,CCCC(=O)NC1CCOC1=O,,,,,,,,,,,,1.0,,,,,,,,,,
973,CCCCC1C(=O)N(N(C1=O)C2=CC=CC=C2)C3=CC=CC=C3,,,,,,,,,,,,,,,,,,,,,,
1180,Cl[Ca]Cl,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1181,Cl[Mg]Cl,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1228,C1=CC=C2C(=C1)C(=CN2)CCO,,,1.0,,,,,,,,,,1.0,,,,,,,,,
1269,CC1=C2C(C3C(C(C1)O)C(=C)C(=O)O3)C(=CC2=O)CO,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
1294,CC1=C2C(C3C(C(C1)OC(=O)CC4=CC=C(C=C4)O)C(=C)C(=O)O3)C(=CC2=O)CO,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
1295,CC1C2C(CC(=C3C(C2OC1=O)C(=CC3=O)CO)C)O,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
1300,CN1C2=C(N(C1=O)C)N(C(=O)N(C2=O)C)C,,,,,,,,,,1.0,,,,,,,1.0,,1.0,,,
1303,COC1=CC(=CC(=C1O)OC)C=CC(=O)O,,,,,,,,,,1.0,,,,,,,,,,,,
1317,C1=CC(=C(C=C1C=CC(=O)O)O)O,1.0,,,,,,,,,1.0,,,,,,,,,,,,
1318,Cl[Mn]Cl,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1319,[O-]S(=O)(=O)[O-].[Fe+2],,,,,1.0,,,,,,,,,,,,,,,,,
1328,C[C@@]12CC(=O)c3occc3[C@H]1CC[C@]13C[C@H](C=O)[C@H](C[C@H](O[C@@H]4O[C@H](CO)[C@@H](O)[C@H](O)[C@H]4O)[C@H]12)C3,,,,,,,,,,,,,,,,,1.0,,1.0,,,
1329,C[C@@]12CC(=O)c3occc3[C@H]1CC[C@]13C=C(CO)[C@H](C[C@H](O[C@@H]4O[C@H](CO)[C@@H](O)[C@H](O)[C@H]4O)[C@H]12)C3,,,,,,,,,,,,,,,,,1.0,,1.0,,,
1330,C[C@@]12CC(=O)c3occc3[C@H]1CC[C@@]13C[C@@H](C[C@H](O[C@@H]4O[C@H](CO)[C@@H](O)[C@H](O)[C@H]4O)[C@H]12)[C@H](C=O)C3,,,,,,,,,,,,,,,,,1.0,,1.0,,,
1331,C[C@@]12CC(=O)c3occc3[C@H]1CC[C@@]13C[C@@H](C[C@H](O)[C@H]12)[C@@](O)(CO)C3,,,,,,,,,,,,,,,,,1.0,,1.0,,,
1332,C[C@@]12CC(=O)c3occc3[C@H]1CC[C@@]13C[C@@H](C[C@H](O)[C@H]12)[C@@](O)(CO[C@@H]1O[C@H](CO)[C@@H](O)[C@H](O)[C@H]1O)C3,,,,,,,,,,,,,,,,,,,1.0,,,
1338,CC(CCC(=O)NCCS(=O)(=O)O)C1CCC2C1(CCC3C2CCC4C3(CCC(C4)O)C)C,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
1345,COC(=O)C1C(CCC2C1CC3C4=C(CCN3C2)C5=CC=CC=C5N4)O.Cl,,,,,,,,,,,,,,,,,,,,,,
1347,C1=CC=NC(=C1)C2=CC=CC=N2,,,,1.0,,,,,,,,,,,,,,,,,,
1348,C1=CC2=C(C3=C(C=C2)N=CC=C3)N=C1,,,,1.0,,,,,,,,,,,,,,,,,,
1349,C1=CC2=C(C=CC3=C2C=CC=N3)N=C1,,,,1.0,,,,,,,,,,,,,,,,,,
1350,CC1=NC2=C(C=C1)C=CC3=C2N=C(C=C3)C,,,,1.0,,,,,,,,,,,,,,,,,,
1351,CC1=C2C=CC3=C(C=CN=C3C2=NC=C1)C,,,,1.0,,,,,,,,,,,,,,,,,,
1352,CC1=C(C2=C(C3=C1C=CC=N3)N=CC=C2)C,,,,1.0,,,,,,,,,,,,,,,,,,
1353,C1=CC2=C(C3=C(C=CC=N3)C(=O)C2=O)N=C1,,,,1.0,,,,,,,,,,,,,,,,,,
1354,C1=CC2=CC(=C3C=CC=NC3=C2N=C1)N,,,,1.0,,,,,,,,,,,,,,,,,,
1355,C1=CC2=CC(=C3C=CC=NC3=C2N=C1)Br,,,,1.0,,,,,,,,,,,,,,,,,,
1356,C1=CC2=CC(=C3C=CC=NC3=C2N=C1)Cl,,,,1.0,,,,,,,,,,,,,,,,,,
1357,CC1=CC2=C(C3=C1C=CC=N3)N=CC=C2,,,,1.0,,,,,,,,,,,,,,,,,,
1358,C1=CC2=CC(=C3C=CC=NC3=C2N=C1)[N+](=O)[O-],,,,1.0,,,,,,,,,,,,,,,,,,
1359,C1=CC2=C(C3=C(C=CC=N3)C4=NC=CN=C24)N=C1,,,,1.0,,,,,,,,,,,,,,,,,,
1360,COC1=C(C2=C(C3=C1C=CC=N3)N=CC=C2)OC,,,,1.0,,,,,,,,,,,,,,,,,,
1361,CCC1=C2C=CC=NC2=C3C(=C1CC)C=CC=N3,,,,1.0,,,,,,,,,,,,,,,,,,
1362,C=C(C)c1c(C(=C)C)c2cccnc2c2ncccc12,,,,1.0,,,,,,,,,,,,,,,,,,
1363,C1=CC=C2C(=C1)C3=CC=CC=C3C(=O)C2=O,,,,1.0,,,,,,,,,,,,,,,,,,
1364,CC1=CC(=NC=C1)C2=NC=CC(=C2)C,,,,1.0,,,,,,,,,,,,,,,,,,
1384,CC(C)CC(C(=O)NC(CCCCN)C(=O)O)NC(=O)C(CC1=CC=C(C=C1)O)NC(=O)C(CCC(=O)N)NC(=O)C2CCCN2C(=O)C(CC(C)C)NC(=O)C(C)NC(=O)C(CC3=CC=CC=C3)N,,,1.0,,,,,,,,,,,,,,,,,,,
1416,CCC(C)C(C(=O)NC(CC1=CN=CN1)C(=O)NC(CC(=O)N)C(=O)O)NC(=O)C2CCCN2C(=O)CNC(=O)C3CCCN3C(=O)C(CC4=CC=CC=C4)NC(=O)C5CCCN5C(=O)C(CC6=CC=C(C=C6)O)NC(=O)C(C(C)C)NC(=O)C(CC(C)C)N,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1425,CCC(C)C(C(=O)NC(CC1=CN=CN1)C(=O)NC(CC(=O)N)C(=O)NC(CO)C(=O)O)NC(=O)C2CCCN2C(=O)CNC(=O)C3CCCN3C(=O)C(CC4=CC=CC=C4)NC(=O)C5CCCN5C(=O)C(CC6=CC=C(C=C6)O)N,1.0,,,,,,,,,,,,1.0,,,,,,,,,
1556,CCC(C)C(C(=O)NC(CC1=CC=CC=C1)C(=O)O)N,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1557,CCC(C)C(C(=O)O)NC(=O)C(CC1=CC=CC=C1)N,1.0,,,,,,,,,,,,,,,,,,,,,
1601,CC(C)CC(C(=O)NC(CC(C)C)C(=O)O)NC(=O)CN,1.0,,,,,,,,,,,,,,,,,,,,,
1621,C1=CC2=C(C(=C1)OCC(COC3=CC=CC4=C3C(=O)C=C(O4)C(=O)O)O)C(=O)C=C(O2)C(=O)O,,,,,,,,,,,,,,,,,,,,,1.0,
1633,O=C([O-])c1ccccc1Nc1cccc(OC(F)(F)F)c1,,,,,,,,,,1.0,,,,,,,,,,,,
1634,FC(F)(F)Oc1cccc(Nc2ccccc2-c2nnn[n-]2)c1,,,,,,,,,,1.0,,,,,,,,,,,,
1635,FS(F)(F)(F)(F)c1cccc(Nc2ccccc2-c2nnn[n-]2)c1,,,,,,,,,,1.0,,,,,,,,,,,,
1636,Clc1cccc(Nc2ccccc2-c2nnn[n-]2)c1,,,,,,,,,,1.0,,,,,,,,,,,,
1637,O=C([O-])c1ccccc1Nc1ccc(Cl)c(C(F)(F)F)c1,,,,,,,,,,1.0,,,,,,,,,,,,
1638,COc1cc(Nc2ccccc2C(=O)[O-])cc(C(F)(F)F)c1,,,,,,,,,,1.0,,,,,,,,,,,,
1639,FC(F)Oc1cccc(Nc2ccccc2-c2nnn[n-]2)c1,,,,,,,,,,1.0,,,,,,,,,,,,
1640,FC(F)(F)c1cc(Nc2ccccc2-c2nnn[n-]2)ccc1Cl,,,,,,,,,,1.0,,,,,,,,,,,,
1641,COc1cc(Nc2ccccc2-c2nnn[nH]2)cc(C(F)(F)F)c1,,,,,,,,,,1.0,,,,,,,,,,,,
1642,Cc1c(Nc2ccccc2-c2nnn[n-]2)cccc1C(F)(F)F,,,,,,,,,,1.0,,,,,,,,,,,,
1643,O=C([O-])c1ccccc1Nc1ccc(N2CCOCC2)c(C(F)(F)F)c1,,,,,,,,,,1.0,,,,,,,,,,,,
1644,O=C([O-])c1ccccc1Nc1cc(OC2CC2)cc(C(F)(F)F)c1,,,,,,,,,,1.0,,,,,,,,,,,,
1645,O=C1COc2c(cc(C(F)(F)F)cc2Nc2ccccc2C(=O)[O-])N1,,,,,,,,,,1.0,,,,,,,,,,,,
1646,O=C([O-])c1ccccc1Nc1cc(OCc2ccccc2)cc(C(F)(F)F)c1,,,,,,,,,,1.0,,,,,,,,,,,,
1647,Cc1ccc(C(F)(F)F)cc1Nc1ccccc1-c1nnn[n-]1,,,,,,,,,,1.0,,,,,,,,,,,,
1648,FC(F)(F)c1cc(Nc2ccccc2-c2nnn[n-]2)ccc1N1CCOCC1,,,,,,,,,,1.0,,,,,,,,,,,,
1649,O=C(O)c1ccccc1Nc1cc([N+](=O)O)cc(C(F)(F)F)c1,,,,,,,,,,1.0,,,,,,,,,,,,
1650,Cc1cn(-c2cc(Nc3ccccc3C(=O)[O-])cc(C(F)(F)F)c2)cn1,,,,,,,,,,1.0,,,,,,,,,,,,
1651,COc1cc(Nc2ccc(Cl)cc2-c2nnn[nH]2)cc(C(F)(F)F)c1,,,,,,,,,,1.0,,,,,,,,,,,,
1652,O=[N+](O)c1cc(Nc2ccccc2-c2nnn[nH]2)cc(C(F)(F)F)c1,,,,,,,,,,1.0,,,,,,,,,,,,
1653,COC(=O)c1cc(Nc2ccccc2C(=O)O)cc(C(F)(F)F)c1,,,,,,,,,,1.0,,,,,,,,,,,,
1654,NC(=O)c1cc(Nc2ccccc2C(=O)O)cc(C(F)(F)F)c1,,,,,,,,,,1.0,,,,,,,,,,,,
1655,O=C([O-])c1ccccc1Nc1cc(N2CCOCC2)cc(C(F)(F)F)c1,,,,,,,,,,1.0,,,,,,,,,,,,
1656,COC(=O)c1cc(Nc2ccccc2-c2nnn[nH]2)cc(C(F)(F)F)c1,,,,,,,,,,1.0,,,,,,,,,,,,
1657,NC(=O)c1cc(Nc2ccccc2-c2nnn[nH]2)cc(C(F)(F)F)c1,,,,,,,,,,1.0,,,,,,,,,,,,
1658,FC(F)(F)c1cc(Nc2ccccc2-c2nnn[nH]2)cc(OC2CC2)c1,,,,,,,,,,1.0,,,,,,,,,,,,
1659,Cc1cc(Nc2ccccc2-c2nnn[nH]2)cc(C(F)(F)F)c1,,,,,,,,,,1.0,,,,,,,,,,,,
1660,C1=CC(=CC(=C1)NC2=C(C=C(C=C2)[N+](=O)[O-])C(=O)O)C(F)(F)F,,,,,,,,,,1.0,,,,,,,,,,,,
1661,COc1ccc(Nc2ccccc2C(=O)[O-])cc1OCc1ccc(Cl)cc1,,,,,,,,,,1.0,,,,,,,,,,,,
1662,COc1ccc(Nc2ccccc2C(=O)[O-])cc1OCc1cccc(F)c1,,,,,,,,,,1.0,,,,,,,,,,,,
1663,COc1cccc(COc2cc(Nc3ccccc3C(=O)[O-])ccc2OC)c1,,,,,,,,,,1.0,,,,,,,,,,,,
1664,O=C([O-])c1ccccc1Nc1cc(C(F)(F)F)cc(C(F)(F)F)c1Cl,,,,,,,,,,1.0,,,,,,,,,,,,
1665,FC(F)(F)c1cc(Nc2ccccc2-c2nnn[n-]2)c(Cl)c(C(F)(F)F)c1,,,,,,,,,,1.0,,,,,,,,,,,,
1666,Cc1ccc(Nc2ccccc2C(=O)[O-])cc1OCc1ccc(Cl)cc1,,,,,,,,,,1.0,,,,,,,,,,,,
1667,COc1cccc(COc2cc(Nc3ccccc3C(=O)[O-])ccc2C)c1,,,,,,,,,,1.0,,,,,,,,,,,,
1668,Cc1ccc(Nc2ccccc2C(=O)[O-])cc1OCc1cccc(F)c1,,,,,,,,,,1.0,,,,,,,,,,,,
1669,O=C([O-])c1ccccc1Nc1cccc(OCc2ccc(Cl)cc2)c1,,,,,,,,,,1.0,,,,,,,,,,,,
1670,COc1cccc(COc2cccc(Nc3ccccc3C(=O)[O-])c2)c1,,,,,,,,,,1.0,,,,,,,,,,,,
1671,O=C([O-])c1ccccc1Nc1cccc(OCc2cccc(F)c2)c1,,,,,,,,,,1.0,,,,,,,,,,,,
